Id,Url,Brand,Model,Year,EngineVolume,Power,Drive,Mileage,Price,Region,Engine,Transmission
63531,https://vladivostok.drom.ru/suzuki/grand_vitara/49000673.html,Suzuki,Grand Vitara,2006.0,2.7,185.0,4WD,168000.0,775000.0,Владивосток,бензин,АКПП
63532,https://novosibirsk.drom.ru/suzuki/grand_vitara/47176254.html,Suzuki,Grand Vitara,2008.0,2.0,140.0,4WD,210000.0,810000.0,Новосибирск,бензин,АКПП
63534,https://simferopol.drom.ru/suzuki/sx4/48999557.html,Suzuki,SX4,2007.0,1.6,107.0,передний,147000.0,600000.0,Симферополь,бензин,АКПП
63535,https://moscow.drom.ru/suzuki/grand_vitara/48999269.html,Suzuki,Grand Vitara,2007.0,2.0,140.0,4WD,188000.0,775000.0,Москва,бензин,АКПП
63536,https://lysva.drom.ru/suzuki/sx4/48999179.html,Suzuki,SX4,2009.0,1.5,99.0,передний,119000.0,595000.0,Лысьва,бензин,механика
63537,https://salehard.drom.ru/suzuki/grand_vitara/48493421.html,Suzuki,Grand Vitara,2007.0,2.0,140.0,4WD,267000.0,650000.0,Салехард,бензин,механика
63538,https://podolsk.drom.ru/suzuki/swift/48998966.html,Suzuki,Swift,2009.0,1.5,102.0,передний,82000.0,560000.0,Подольск,бензин,АКПП
63539,https://nizhniy-novgorod.drom.ru/suzuki/grand_vitara/48998875.html,Suzuki,Grand Vitara,2008.0,2.4,169.0,4WD,183737.0,799000.0,Нижний Новгород,бензин,АКПП
63540,https://barnaul.drom.ru/suzuki/grand_vitara/48997877.html,Suzuki,Grand Vitara,2005.0,1.6,94.0,4WD,170000.0,580000.0,Барнаул,бензин,АКПП
63541,https://izhevsk.drom.ru/suzuki/sx4/48997358.html,Suzuki,SX4,2007.0,1.6,106.0,передний,170000.0,459000.0,Ижевск,бензин,механика
63542,https://vladivostok.drom.ru/suzuki/swift/47175438.html,Suzuki,Swift,2009.0,1.2,90.0,передний,230000.0,395000.0,Владивосток,бензин,вариатор
63543,https://novosibirsk.drom.ru/suzuki/sx4/47702186.html,Suzuki,SX4,2009.0,1.5,111.0,передний,180000.0,590000.0,Новосибирск,бензин,АКПП
63544,https://moscow.drom.ru/suzuki/grand_vitara/48996064.html,Suzuki,Grand Vitara,2006.0,1.6,106.0,4WD,174812.0,600000.0,Москва,бензин,механика
63545,https://vladivostok.drom.ru/suzuki/escudo/48832432.html,Suzuki,Escudo,2005.0,2.0,145.0,4WD,193000.0,640000.0,Владивосток,бензин,АКПП
63546,https://krasnoyarsk.drom.ru/suzuki/grand_vitara/48995950.html,Suzuki,Grand Vitara,2007.0,2.0,140.0,4WD,198000.0,720000.0,Красноярск,бензин,АКПП
63547,https://severobaykalsk.drom.ru/suzuki/grand_vitara/48292997.html,Suzuki,Grand Vitara,2008.0,2.4,169.0,4WD,121000.0,850000.0,Северобайкальск,бензин,АКПП
63548,https://tynda.drom.ru/suzuki/escudo/48995274.html,Suzuki,Escudo,2008.0,2.0,145.0,4WD,224000.0,870000.0,Тында,бензин,АКПП
63549,https://kamen-rybolov.drom.ru/suzuki/jimny_sierra/48994976.html,Suzuki,Jimny Sierra,2006.0,1.3,88.0,4WD,182000.0,620000.0,Камень-Рыболов,бензин,АКПП
63550,https://novosibirsk.drom.ru/suzuki/jimny/48305580.html,Suzuki,Jimny,2008.0,1.3,85.0,4WD,100000.0,720000.0,Новосибирск,бензин,АКПП
63551,https://vladivostok.drom.ru/suzuki/jimny/48173889.html,Suzuki,Jimny,2008.0,0.7,64.0,4WD,173000.0,590000.0,Владивосток,бензин,АКПП
63552,https://kupino.drom.ru/suzuki/wagon_r/47965846.html,Suzuki,Wagon R,2005.0,0.7,54.0,передний,200000.0,330000.0,Купино,бензин,АКПП
63553,https://komsomolsk.drom.ru/suzuki/jimny/47960741.html,Suzuki,Jimny,2005.0,0.7,64.0,4WD,200000.0,150000.0,Комсомольск-на-Амуре,бензин,АКПП
63554,https://kyzyl.drom.ru/suzuki/grand_vitara/47831003.html,Suzuki,Grand Vitara,2005.0,2.0,140.0,4WD,260000.0,655000.0,Кызыл,бензин,АКПП
63555,https://vladivostok.drom.ru/suzuki/escudo/47304293.html,Suzuki,Escudo,2008.0,2.4,166.0,4WD,142000.0,950000.0,Владивосток,бензин,АКПП
63557,https://chernogorsk.drom.ru/suzuki/grand_vitara/47294934.html,Suzuki,Grand Vitara,2006.0,2.0,140.0,4WD,140000.0,685000.0,Черногорск,бензин,механика
63558,https://rubtsovsk.drom.ru/suzuki/grand_vitara/47281567.html,Suzuki,Grand Vitara,2005.0,2.0,128.0,4WD,159000.0,700000.0,Рубцовск,бензин,АКПП
63559,https://otradniy.drom.ru/suzuki/grand_vitara/47257951.html,Suzuki,Grand Vitara,2008.0,2.4,169.0,4WD,221000.0,835000.0,Отрадный,бензин,механика
63560,https://zlatoust.drom.ru/suzuki/grand_vitara/46946221.html,Suzuki,Grand Vitara,2008.0,2.4,169.0,4WD,167907.0,800000.0,Златоуст,бензин,АКПП
63561,https://vladivostok.drom.ru/suzuki/escudo/46903708.html,Suzuki,Escudo,2006.0,1.6,106.0,4WD,27000.0,900000.0,Владивосток,бензин,механика
63562,https://olga.drom.ru/suzuki/jimny/46671273.html,Suzuki,Jimny,2006.0,0.7,64.0,4WD,52000.0,550000.0,Ольга,бензин,механика
63563,https://vladivostok.drom.ru/suzuki/sx4/45328792.html,Suzuki,SX4,2007.0,2.0,145.0,4WD,110000.0,560000.0,Владивосток,бензин,АКПП
63564,https://simferopol.drom.ru/suzuki/liana/43509544.html,Suzuki,Liana,2007.0,1.6,106.0,передний,210000.0,426000.0,Симферополь,бензин,механика
63565,https://arsenyev.drom.ru/suzuki/swift/48993511.html,Suzuki,Swift,2009.0,1.2,90.0,передний,230000.0,395000.0,Арсеньев,бензин,вариатор
